time,vin,vh,vl
2.353515625000000000e-01,1.247883707233830020e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.363281250000000000e-01,1.248156306091388945e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.373046875000000000e-01,1.248410149645582834e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.382812500000000000e-01,1.248645228339344992e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.392578125000000000e-01,1.248861533322095818e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.402343750000000000e-01,1.249059056450074534e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.412109375000000000e-01,1.249237790286647387e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.421875000000000000e-01,1.249397728102586314e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.431640625000000000e-01,1.249538863876322736e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.441406250000000000e-01,1.249661192294174716e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.451171875000000000e-01,1.249764708750546571e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.460937500000000000e-01,1.249849409348102069e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.470703125000000000e-01,1.249915290897911646e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.480468750000000000e-01,1.249962350919572307e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.490234375000000000e-01,1.249990587641300444e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.500000000000000000e-01,1.250000000000000000e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.509765625000000000e-01,1.249990587641300444e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.519531250000000000e-01,1.249962350919572307e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.529296875000000000e-01,1.249915290897911646e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.539062500000000000e-01,1.249849409348102069e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.548828125000000000e-01,1.249764708750546571e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.558593750000000000e-01,1.249661192294174716e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.568359375000000000e-01,1.249538863876322736e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.578125000000000000e-01,1.249397728102586314e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.587890625000000000e-01,1.249237790286647387e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.597656250000000000e-01,1.249059056450074534e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.607421875000000000e-01,1.248861533322095818e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.617187500000000000e-01,1.248645228339344992e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.626953125000000000e-01,1.248410149645582834e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.636718750000000000e-01,1.248156306091388945e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.646484375000000000e-01,1.247883707233830020e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.656250000000000000e-01,1.247592363336098575e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.666015625000000000e-01,1.247282285367127708e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.675781250000000000e-01,1.246953485001178086e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.685546875000000000e-01,1.246605974617397194e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.695312500000000000e-01,1.246239767299355039e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.705078125000000000e-01,1.245854876834549874e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.714843750000000000e-01,1.245451317713889949e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.724609375000000000e-01,1.245029105131148617e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.734375000000000000e-01,1.244588254982390563e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.744140625000000000e-01,1.244128783865374732e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.753906250000000000e-01,1.243650709078929273e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.763671875000000000e-01,1.243154048622299390e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.773437500000000000e-01,1.242638821194470555e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.783203125000000000e-01,1.242105046193464624e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.792968750000000000e-01,1.241552743715608198e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.802734375000000000e-01,1.240981934554777677e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.812500000000000000e-01,1.240392640201615215e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.822265625000000000e-01,1.239784882842720259e+00,1.312500000000000000e+00,1.125000000000000000e+00
