time,vin,vout_buf,vout_st
9.717280040000000896e-02,4.219869540000000252e-01,1.256634389999999944e-09,1.217035560000000040e-09
9.786400209999999988e-02,2.887839309999999937e-01,1.076167579999999990e-09,1.217809169999999979e-09
9.809216020000000036e-02,2.631892780000000265e-01,1.166212249999999940e-09,1.319801930000000049e-09
9.864512159999999641e-02,2.668721210000000177e-01,1.166143459999999973e-09,1.321403609999999958e-09
9.907372820000000246e-02,2.287875109999999990e-01,9.356649009999999050e-10,3.921598649999999862e-10
9.951609720000000048e-02,-1.390158829999999998e-02,9.340255300000000739e-10,3.941200699999999807e-10
1.000589830000000041e-01,-2.553295469999999900e-01,1.465671849999999934e-09,2.510274249999999966e-09
1.004128779999999971e-01,-1.110473980000000055e-01,1.465131710000000055e-09,2.506246710000000135e-09
1.010000000000000064e-01,1.283207429999999871e-01,1.464624619999999957e-09,2.498844680000000196e-09
1.012831159999999925e-01,1.529192020000000041e-01,1.193291890000000067e-09,1.429127859999999986e-09
1.019999999999999934e-01,2.152054059999999880e-01,1.192941849999999988e-09,1.427969389999999952e-09
1.022264930000000016e-01,2.391068600000000044e-01,1.107189640000000029e-09,1.089375749999999902e-09
1.029999999999999943e-01,3.207338650000000069e-01,1.102990080000000081e-09,1.086889759999999920e-09
1.031811940000000039e-01,3.726914310000000174e-01,9.722038350000000366e-10,7.806279670000000446e-10
1.039059719999999992e-01,5.805216989999999466e-01,-9.785124870000000204e-09,1.047413969999999906e-09
1.040577359999999979e-01,5.934148200000000095e-01,2.302131149999999984e-08,6.463493180000000290e-10
1.044041490000000016e-01,5.089978779999999592e-01,5.048783930000000356e-09,6.526729539999999669e-10
1.050000000000000100e-01,3.637959980000000093e-01,3.420944320000000195e-09,6.524196019999999714e-10
1.052771309999999960e-01,2.961583879999999946e-01,1.105997340000000048e-09,1.112370599999999939e-09
1.059999999999999970e-01,1.197322090000000061e-01,1.101606119999999967e-09,1.114934050000000045e-09
1.062217049999999996e-01,3.131719720000000207e-01,7.429470170000000332e-10,-2.911309110000000223e-10
1.069999999999999979e-01,9.922431499999999627e-01,-8.210056379999999705e-07,7.032877059999999896e-11
1.071636019999999967e-01,9.187692370000000164e-01,3.463066279999999794e-07,3.172141059999999932e-09
1.078180089999999924e-01,6.248735279999999559e-01,3.803423460000000031e-08,3.126994140000000010e-09
1.080872539999999937e-01,5.363841400000000093e-01,3.277715729999999930e-09,1.459006170000000010e-09
1.086107800000000040e-01,4.958427440000000019e-01,1.978319040000000117e-09,1.467551050000000090e-09
1.090698029999999930e-01,4.601266399999999757e-01,1.375924520000000015e-09,1.113397329999999998e-09
1.094886240000000066e-01,4.266751449999999779e-01,1.220110439999999932e-09,1.112524809999999921e-09
1.100558430000000004e-01,4.130233750000000259e-01,1.107538920000000031e-09,2.029958469999999893e-09
1.103908990000000007e-01,5.761764470000000360e-01,-1.827595139999999874e-08,2.309698740000000173e-09
1.110000000000000014e-01,8.727731069999999924e-01,-3.376547649999999830e-07,2.563270200000000043e-09
1.112680449999999960e-01,8.290057490000000140e-01,9.169923099999999696e-08,1.722850770000000019e-09
1.120000000000000023e-01,7.094896069999999666e-01,4.658304250000000292e-08,1.719467519999999973e-09
1.122144360000000007e-01,6.125572830000000080e-01,3.384636880000000255e-08,1.373407909999999909e-09
1.129999999999999893e-01,2.574561679999999853e-01,-2.618397529999999931e-09,1.379442919999999923e-09
1.131715490000000102e-01,2.674149310000000224e-01,8.980009679999999910e-10,2.559518930000000060e-10
1.138577449999999963e-01,3.072500040000000210e-01,8.968695210000000021e-10,2.626248250000000067e-10
1.140914930000000022e-01,2.978469160000000171e-01,1.053244100000000040e-09,8.509271249999999904e-10
1.146404489999999915e-01,1.918791109999999911e-01,1.048141599999999953e-09,8.480924530000000029e-10
1.150731940000000036e-01,1.524830249999999943e-01,1.307224779999999952e-09,1.883127759999999834e-09
1.155123599999999945e-01,3.325414930000000213e-01,1.289114950000000035e-09,1.865447770000000204e-09
1.160585549999999938e-01,5.084716849999999511e-01,7.520109430000000147e-09,1.479446000000000011e-10
1.164098880000000030e-01,3.644526080000000112e-01,3.005338419999999874e-09,1.442728770000000095e-10
1.169999999999999929e-01,1.225521249999999979e-01,2.973121000000000077e-09,1.659438429999999996e-10
1.172810660000000033e-01,8.835380330000000559e-02,1.039760310000000073e-09,8.261730449999999695e-10
1.179999999999999938e-01,8.784109179999999512e-04,1.039804550000000072e-09,8.279687260000000383e-10
1.182248530000000047e-01,1.177881330000000032e-01,9.220840439999999661e-10,3.536249890000000197e-10
1.190000000000000085e-01,5.208177320000000332e-01,-1.566469310000000100e-09,2.617019679999999842e-10
1.191798820000000009e-01,3.964690359999999969e-01,-2.396892620000000072e-09,2.546901960000000008e-09
1.198994109999999974e-01,-1.009258060000000068e-01,-2.530805889999999962e-09,2.582412510000000199e-09
1.200546840000000087e-01,-1.266477880000000111e-01,1.723913969999999999e-09,3.509655779999999871e-09
1.203827900000000034e-01,1.362326130000000024e-01,1.723180330000000063e-09,3.502782550000000167e-09
1.209999999999999964e-01,6.307442119999999708e-01,-8.127856340000000584e-08,3.659729900000000109e-09
1.212353580000000014e-01,4.722931320000000044e-01,-3.282008159999999829e-08,2.554964219999999810e-09
1.219999999999999973e-01,-4.249117320000000281e-02,-3.373924739999999803e-08,2.554394209999999839e-09
1.221882860000000071e-01,4.368114020000000292e-02,7.285074059999999630e-10,-5.365152079999999988e-10
1.229414310000000177e-01,3.883704490000000065e-01,6.765189129999999932e-10,-5.537446019999999994e-10
1.231000000000000150e-01,3.933627619999999769e-01,1.076791949999999961e-09,5.427277790000000390e-10
1.236134039999999962e-01,2.813739510000000110e-01,9.913206089999999266e-10,4.592452880000000109e-10
1.240626809999999941e-01,1.808381900000000098e-01,1.098891000000000026e-09,1.054390369999999907e-09
1.244387659999999923e-01,8.359185919999999326e-02,1.098374230000000028e-09,1.054582979999999928e-09
1.250000000000000000e-01,-6.152932330000000088e-02,1.098383150000000059e-09,1.055277319999999952e-09
1.251619769999999798e-01,8.267368910000000293e-02,6.367874880000000288e-10,-7.774126640000000454e-10
1.258098849999999824e-01,6.594857960000000130e-01,-5.741059140000000247e-08,6.867441809999999601e-09
1.260645220000000122e-01,8.116625579999999784e-01,1.436237889999999918e-07,-4.469304860000000105e-10
1.264516519999999977e-01,7.092024000000000106e-01,8.126748160000000368e-08,-4.192492939999999929e-10
1.270000000000000018e-01,5.640735209999999666e-01,1.984003000000000061e-08,-1.833851259999999906e-10
1.271930439999999773e-01,5.730344149999999637e-01,-1.678014810000000002e-09,7.692010269999999955e-10
1.279652180000000194e-01,6.088780070000000544e-01,-3.863770400000000321e-09,7.678727579999999574e-10
1.280695649999999963e-01,5.774484180000000189e-01,3.997954629999999731e-08,5.231653300000000455e-10
