frequency,Tian_dB_20dB,Tian_dB_34dB,Tian_dB_40dB,Tian_arg_20dB,Tian_arg_34dB,Tian_arg_40dB
1.407715369999999893e+03,2.814661919999999995e+01,1.582448310000000014e+01,1.003551290000000051e+01,-8.794716839999999536e+01,-8.806394989999999723e+01,-8.808208460000000173e+01
1.473386989999999969e+03,2.775155090000000158e+01,1.542941639999999914e+01,9.640446539999999231e+00,-8.811354400000000453e+01,-8.822725119999999777e+01,-8.824490720000000010e+01
1.542122280000000046e+03,2.735641499999999837e+01,1.503428199999999926e+01,9.245312520000000589e+00,-8.827603039999999623e+01,-8.838690019999999947e+01,-8.840411410000000103e+01
1.614064149999999927e+03,2.696121880000000104e+01,1.463908739999999931e+01,8.850118309999999155e+00,-8.843496210000000701e+01,-8.854322510000000079e+01,-8.856003280000000188e+01
1.689362200000000030e+03,2.656596950000000135e+01,1.424383959999999938e+01,8.454870919999999401e+00,-8.859066640000000348e+01,-8.869654800000000705e+01,-8.871298450000000457e+01
1.768172990000000027e+03,2.617067360000000065e+01,1.384854529999999961e+01,8.059576919999999589e+00,-8.874346459999999581e+01,-8.884718530000000669e+01,-8.886328480000000241e+01
1.850660399999999981e+03,2.577533719999999917e+01,1.345321050000000085e+01,7.664242469999999585e+00,-8.889367230000000575e+01,-8.899544799999999611e+01,-8.901124400000000492e+01
1.936995949999999993e+03,2.537996610000000075e+01,1.305784109999999920e+01,7.268873430000000191e+00,-8.904160020000000486e+01,-8.914164289999999369e+01,-8.915716829999999504e+01
2.027359159999999974e+03,2.498456600000000094e+01,1.266244269999999972e+01,6.873475339999999711e+00,-8.918755470000000685e+01,-8.928607259999999712e+01,-8.930135980000000018e+01
2.121937919999999849e+03,2.458914199999999894e+01,1.226702060000000039e+01,6.478053550000000271e+00,-8.933183830000000114e+01,-8.942903669999999750e+01,-8.944411759999999845e+01
2.220928890000000138e+03,2.419369939999999986e+01,1.187157979999999924e+01,6.082613170000000125e+00,-8.947475049999999896e+01,-8.957083199999999579e+01,-8.958573780000000397e+01
2.324537910000000011e+03,2.379824299999999937e+01,1.147612550000000020e+01,5.687159160000000213e+00,-8.961658819999999537e+01,-8.971175289999999336e+01,-8.972651480000000390e+01
2.432980419999999867e+03,2.340277779999999908e+01,1.108066239999999958e+01,5.291696380000000310e+00,-8.975764660000000106e+01,-8.985209279999999410e+01,-8.986674159999999745e+01
2.546481900000000223e+03,2.300730829999999827e+01,1.068519520000000078e+01,4.896229639999999605e+00,-8.989821919999999977e+01,-8.999214399999999614e+01,-9.000671020000000055e+01
2.665278369999999995e+03,2.261183949999999854e+01,1.028972890000000007e+01,4.500763659999999611e+00,-9.003859930000000134e+01,-9.013219850000000122e+01,-9.014671250000000668e+01
2.789616829999999936e+03,2.221637610000000151e+01,9.894268020000000163e+00,4.105303199999999819e+00,-9.017907979999999668e+01,-9.027254890000000387e+01,-9.028704089999999383e+01
2.919755830000000060e+03,2.182092270000000056e+01,9.498817479999999591e+00,3.709853069999999864e+00,-9.031995440000000031e+01,-9.041348840000000564e+01,-9.042798870000000022e+01
3.055965979999999945e+03,2.142548430000000081e+01,9.103382110000000083e+00,3.314418159999999780e+00,-9.046151799999999810e+01,-9.055531229999999709e+01,-9.056985129999999629e+01
3.198530490000000100e+03,2.103006579999999914e+01,8.707966940000000378e+00,2.919003459999999883e+00,-9.060406720000000291e+01,-9.069831790000000638e+01,-9.071292590000000189e+01
3.347745809999999892e+03,2.063467239999999947e+01,8.312577120000000264e+00,2.523614149999999778e+00,-9.074790129999999522e+01,-9.084280569999999955e+01,-9.085751319999999964e+01
3.503922210000000177e+03,2.023930939999999978e+01,7.917218029999999906e+00,2.128255600000000136e+00,-9.089332290000000114e+01,-9.098907959999999662e+01,-9.100391750000000002e+01
3.667384419999999864e+03,1.984398249999999919e+01,7.521895269999999911e+00,1.732933430000000108e+00,-9.104063829999999768e+01,-9.113744789999999796e+01,-9.115244730000000573e+01
3.838472339999999804e+03,1.944869740000000036e+01,7.126614789999999644e+00,1.337653580000000009e+00,-9.119015840000000139e+01,-9.128822409999999365e+01,-9.130341640000000325e+01
4.017541729999999916e+03,1.905346049999999991e+01,6.731382830000000261e+00,9.424222920000000503e-01,-9.134219969999999478e+01,-9.144172740000000488e+01,-9.145714449999999829e+01
4.204964909999999691e+03,1.865827829999999921e+01,6.336206060000000306e+00,5.472462399999999949e-01,-9.149708459999999377e+01,-9.159828360000000202e+01,-9.161395799999999667e+01
4.401131620000000112e+03,1.826315789999999950e+01,5.941091540000000393e+00,1.521325269999999896e-01,-9.165514249999999663e+01,-9.175822589999999934e+01,-9.177419050000000311e+01
4.606449740000000020e+03,1.786810690000000079e+01,5.546046910000000274e+00,-2.429112760000000093e-01,-9.181671040000000517e+01,-9.192189559999999915e+01,-9.193818419999999492e+01
4.821346190000000206e+03,1.747313330000000065e+01,5.151080300000000278e+00,-6.378769499999999981e-01,-9.198213400000000206e+01,-9.208964319999999759e+01,-9.210629020000000367e+01
5.046267829999999776e+03,1.707824600000000004e+01,4.756200510000000214e+00,-1.032755749999999972e+00,-9.215176839999999459e+01,-9.226182930000000226e+01,-9.227886979999999539e+01
5.281682340000000295e+03,1.668345430000000107e+01,4.361417020000000200e+00,-1.427538149999999950e+00,-9.232597930000000019e+01,-9.243882519999999658e+01,-9.245629549999999597e+01
5.528079209999999875e+03,1.628876839999999859e+01,3.966740080000000113e+00,-1.822213920000000043e+00,-9.250514350000000263e+01,-9.262101440000000707e+01,-9.263895159999999862e+01
5.785970800000000054e+03,1.589419939999999976e+01,3.572180770000000116e+00,-2.216771969999999925e+00,-9.268965049999999906e+01,-9.280879339999999900e+01,-9.282723570000000279e+01
6.055893339999999625e+03,1.549975919999999974e+01,3.177751139999999808e+00,-2.611200230000000122e+00,-9.287990340000000344e+01,-9.300257310000000643e+01,-9.302155989999999974e+01
6.338408099999999649e+03,1.510546079999999947e+01,2.783464190000000116e+00,-3.005485680000000048e+00,-9.307632010000000378e+01,-9.320277950000000544e+01,-9.322235150000000203e+01
6.634102509999999711e+03,1.471131830000000029e+01,2.389334120000000006e+00,-3.399614160000000052e+00,-9.327933459999999855e+01,-9.340985569999999427e+01,-9.343005510000000413e+01
