time,vphi1,vphi2,Vcm
7.518750170000000344e-01,4.500000029999999818e-01,0.000000000000000000e+00,7.417743789999999837e-01
7.518750260000000019e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.417644839999999462e-01
7.518751120000000121e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.418795639999999914e-01
7.518757769999999674e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.418809870000000473e-01
7.518864189999999725e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.418810449999999612e-01
7.520000000000000018e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.418810660000000334e-01
7.520000100000000520e-01,0.000000000000000000e+00,1.499999990000000061e+00,7.418846890000000416e-01
7.520000219999999347e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.418833500000000525e-01
7.520001069999999732e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.418815090000000501e-01
7.520012260000000781e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.418814959999999736e-01
7.520191370000000042e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.418815479999999463e-01
7.523057109999999881e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.418824229999999575e-01
7.541113899999999370e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.418879309999999450e-01
7.561113900000000498e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.418940320000000366e-01
7.581113899999999406e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.419001339999999889e-01
7.601113900000000534e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.419062349999999695e-01
7.621113899999999441e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.419123359999999501e-01
7.641113900000000569e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.419184370000000417e-01
7.661113900000000587e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.419245380000000223e-01
7.678750099999999135e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.419299179999999660e-01
7.678750200000000747e-01,0.000000000000000000e+00,4.977264599999999642e-09,7.419288950000000327e-01
7.678750319999999574e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.419312630000000075e-01
7.678751409999999833e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.419299590000000277e-01
7.678763560000000377e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.419306340000000333e-01
7.678957939999999649e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.419384549999999967e-01
7.680000009999999877e-01,1.499999989999999950e-01,0.000000000000000000e+00,7.419732900000000075e-01
7.680000109999999269e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.421399349999999728e-01
7.680000350000000253e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.420364409999999911e-01
7.680002019999999652e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.421510439999999820e-01
7.680026939999999858e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.431219110000000239e-01
7.680425640000000387e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.435868420000000256e-01
7.686804950000000192e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.435867470000000479e-01
7.706804950000000209e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.435883189999999976e-01
