t,ecg_signal_offset
3.685239491691104652e-01,6.057792207792209727e-01
3.695014662756598289e-01,6.059090909090910637e-01
3.704789833822091927e-01,6.085064935064936620e-01
3.714565004887585564e-01,6.143506493506494248e-01
3.724340175953079202e-01,6.209740259740259560e-01
3.734115347018572839e-01,6.212987012987014612e-01
3.743890518084066477e-01,6.254545454545455963e-01
3.753665689149560114e-01,6.312337662337663691e-01
3.763440860215053752e-01,6.364935064935065556e-01
3.773216031280547389e-01,6.368181818181818388e-01
3.782991202346041026e-01,6.360389610389611814e-01
3.792766373411534664e-01,6.332467532467535021e-01
3.802541544477028301e-01,6.295454545454547413e-01
3.812316715542521939e-01,6.265584415584416478e-01
3.822091886608015576e-01,6.312987012987014701e-01
3.831867057673509214e-01,6.415584415584416611e-01
3.841642228739002851e-01,6.494155844155845569e-01
3.851417399804496489e-01,6.516233766233767710e-01
3.861192570869990126e-01,6.477922077922080302e-01
3.870967741935483764e-01,6.409090909090910948e-01
3.880742913000977401e-01,6.357792207792209993e-01
3.890518084066471038e-01,6.349350649350650189e-01
3.900293255131964676e-01,6.374675324675326271e-01
3.910068426197458313e-01,6.405194805194805996e-01
3.919843597262951951e-01,6.388961038961039618e-01
3.929618768328445588e-01,6.318831168831171574e-01
3.939393939393939226e-01,6.281168831168832956e-01
3.949169110459432863e-01,6.268181818181819409e-01
3.958944281524926501e-01,6.290259740259741550e-01
3.968719452590420138e-01,6.312337662337663691e-01
3.978494623655913776e-01,6.317532467532469553e-01
3.988269794721407413e-01,6.272077922077923251e-01
3.998044965786901050e-01,6.189610389610391561e-01
4.007820136852394688e-01,6.133116883116883633e-01
4.017595307917888325e-01,6.203246753246756118e-01
4.027370478983381963e-01,6.318181818181820564e-01
4.037145650048875600e-01,6.385714285714286786e-01
4.046920821114369238e-01,6.359740259740261914e-01
4.056695992179862875e-01,6.268831168831170420e-01
4.066471163245356513e-01,6.200649350649352076e-01
4.076246334310850705e-01,6.149350649350650011e-01
4.086021505376344343e-01,6.126623376623376860e-01
4.095796676441837980e-01,6.137662337662338485e-01
4.105571847507331618e-01,6.185064935064935598e-01
4.115347018572825255e-01,6.224025974025974017e-01
4.125122189638318893e-01,6.196103896103897224e-01
