t,derivative
5.874877810361681663e-01,-9.974025974025835239e-02
5.884652981427175300e-01,-1.030649350649468943e+00
5.894428152492668938e-01,1.961558441558338473e+00
5.904203323558162575e-01,5.286233766233806364e+00
5.913978494623656212e-01,6.682597402597480141e+00
5.923753665689149850e-01,3.524155844155814066e+00
5.933528836754643487e-01,-1.695584415584391991e+00
5.943304007820137125e-01,-5.651948051947954355e+00
5.953079178885630762e-01,-3.590649350649414373e+00
5.962854349951124400e-01,3.690389610389502195e+00
5.972629521016618037e-01,8.943376623376650514e+00
5.982404692082111675e-01,7.547012987013090424e+00
5.992179863147605312e-01,4.388571428571424349e+00
6.001955034213098950e-01,9.641558441557549486e-01
6.011730205278592587e-01,-1.363116883116902045e+00
6.021505376344086224e-01,-5.984415584414932709e-01
6.031280547409579862e-01,1.462857142857217241e+00
6.041055718475073499e-01,5.518961038960981114e+00
6.050830889540567137e-01,6.948571428571426623e+00
6.060606060606060774e-01,5.452467532467608180e+00
6.070381231671554412e-01,1.728831168831106879e+00
6.080156402737048049e-01,-1.562597402597418750e+00
6.089931573802541687e-01,0.000000000000000000e+00
6.099706744868035324e-01,4.056103896103820716e+00
6.109481915933528962e-01,8.943376623376707357e+00
6.119257086999022599e-01,7.081558441558513550e+00
6.129032258064516236e-01,-7.646753246753519306e-01
6.138807429130009874e-01,-5.618701298701353153e+00
6.148582600195503511e-01,-5.252987012987034632e+00
6.158357771260997149e-01,1.462857142857217241e+00
6.168132942326490786e-01,8.976623376623365402e+00
6.177908113391984424e-01,9.275844155844083616e+00
6.187683284457478061e-01,6.449870129870191704e+00
6.197458455522971699e-01,2.560000000000002274e+00
6.207233626588465336e-01,-1.396363636363673777e+00
6.217008797653958974e-01,-3.490909090909099177e+00
6.226783968719452611e-01,-3.191688311688324120e+00
6.236559139784946248e-01,-1.163636363636328497e+00
6.246334310850439886e-01,6.649350649348662046e-02
6.256109481915933523e-01,-6.649350649354346388e-02
6.265884652981427161e-01,-1.296623376623415425e+00
6.275659824046920798e-01,-2.859220779220777331e+00
6.285434995112414436e-01,-1.196883116883100229e+00
6.295210166177908073e-01,6.549610389610450056e+00
6.304985337243401711e-01,9.109610389610395487e+00
6.314760508308895348e-01,4.987012987012917620e+00
6.324535679374388986e-01,-3.657142857142616776e-01
6.334310850439882623e-01,-5.020259740259632508e+00
6.344086021505376261e-01,-6.050909090909158294e+00
6.353861192570869898e-01,9.974025974025835239e-02
6.363636363636363535e-01,8.378181818181928975e+00
6.373411534701857173e-01,1.010701298701292217e+01
6.383186705767350810e-01,6.150649350649246117e+00
6.392961876832844448e-01,1.163636363636385340e+00
6.402737047898338085e-01,-2.028051948051938780e+00
6.412512218963831723e-01,-3.258181818181753897e+00
6.422287390029325360e-01,-6.316883116883218463e-01
6.432062561094818998e-01,2.859220779220720488e+00
6.441837732160312635e-01,4.056103896103934403e+00
6.451612903225806273e-01,2.327272727272770680e+00
6.461388074291299910e-01,-1.762077922077878611e+00
6.471163245356793547e-01,-1.828571428571422075e+00
6.480938416422287185e-01,2.726233766233804090e+00
6.490713587487780822e-01,5.319480519480521252e+00
6.500488758553274460e-01,3.125194805194723813e+00
6.510263929618768097e-01,-2.194285714285797440e+00
6.520039100684261735e-01,-4.754285714285686026e+00
