 v-sweep         v(vinp)         v(voutp)        v(voutn)       
 7.51040000e-01  7.51040000e-01  1.44126804e+00  5.96950136e-02 
 7.51050000e-01  7.51050000e-01  1.44179696e+00  5.92481334e-02 
 7.51060000e-01  7.51060000e-01  1.44232599e+00  5.88059783e-02 
 7.51070000e-01  7.51070000e-01  1.44284529e+00  5.83686051e-02 
 7.51080000e-01  7.51080000e-01  1.44335842e+00  5.79346050e-02 
 7.51090000e-01  7.51090000e-01  1.44386542e+00  5.75079090e-02 
 7.51100000e-01  7.51100000e-01  1.44436329e+00  5.70916624e-02 
 7.51110000e-01  7.51110000e-01  1.44485848e+00  5.66743661e-02 
 7.51120000e-01  7.51120000e-01  1.44534780e+00  5.62622298e-02 
 7.51130000e-01  7.51130000e-01  1.44583417e+00  5.58549788e-02 
 7.51140000e-01  7.51140000e-01  1.44630939e+00  5.54557802e-02 
 7.51150000e-01  7.51150000e-01  1.44678205e+00  5.50577925e-02 
 7.51160000e-01  7.51160000e-01  1.44725186e+00  5.46636185e-02 
 7.51170000e-01  7.51170000e-01  1.44771355e+00  5.42776272e-02 
 7.51180000e-01  7.51180000e-01  1.44816775e+00  5.38948796e-02 
 7.51190000e-01  7.51190000e-01  1.44861910e+00  5.35176101e-02 
 7.51200000e-01  7.51200000e-01  1.44906578e+00  5.31417195e-02 
 7.51210000e-01  7.51210000e-01  1.44950727e+00  5.27718706e-02 
 7.51220000e-01  7.51220000e-01  1.44994656e+00  5.24020388e-02 
 7.51230000e-01  7.51230000e-01  1.45037616e+00  5.20413357e-02 
 7.51240000e-01  7.51240000e-01  1.45080323e+00  5.16843150e-02 
 7.51250000e-01  7.51250000e-01  1.45122606e+00  5.13290012e-02 
 7.51260000e-01  7.51260000e-01  1.45164616e+00  5.09783411e-02 
 7.51270000e-01  7.51270000e-01  1.45205796e+00  5.06305251e-02 
 7.51280000e-01  7.51280000e-01  1.45246728e+00  5.02869441e-02 
 7.51290000e-01  7.51290000e-01  1.45287405e+00  4.99474304e-02 
 7.51300000e-01  7.51300000e-01  1.45327266e+00  4.96128023e-02 
 7.51310000e-01  7.51310000e-01  1.45366885e+00  4.92821637e-02 
 7.51320000e-01  7.51320000e-01  1.45406339e+00  4.89506164e-02 
 7.51330000e-01  7.51330000e-01  1.45444957e+00  4.86271133e-02 
 7.51340000e-01  7.51340000e-01  1.45483603e+00  4.83021572e-02 
 7.51350000e-01  7.51350000e-01  1.45521575e+00  4.79863345e-02 
 7.51360000e-01  7.51360000e-01  1.45559259e+00  4.76686494e-02 
 7.51370000e-01  7.51370000e-01  1.45596357e+00  4.73566388e-02 
 7.51380000e-01  7.51380000e-01  1.45633395e+00  4.70475544e-02 
 7.51390000e-01  7.51390000e-01  1.45669840e+00  4.67443147e-02 
 7.51400000e-01  7.51400000e-01  1.45706019e+00  4.64396998e-02 
 7.51410000e-01  7.51410000e-01  1.45741789e+00  4.61404781e-02 
 7.51420000e-01  7.51420000e-01  1.45777220e+00  4.58434933e-02 
 7.51430000e-01  7.51430000e-01  1.45812113e+00  4.55513596e-02 
 7.51440000e-01  7.51440000e-01  1.45846821e+00  4.52611219e-02 
 7.51450000e-01  7.51450000e-01  1.45881177e+00  4.49742158e-02 
 7.51460000e-01  7.51460000e-01  1.45915431e+00  4.46861868e-02 
 7.51470000e-01  7.51470000e-01  1.45948983e+00  4.44051922e-02 
 7.51480000e-01  7.51480000e-01  1.45982416e+00  4.41240053e-02 
 7.51490000e-01  7.51490000e-01  1.46015612e+00  4.38467389e-02 
 7.51500000e-01  7.51500000e-01  1.46048199e+00  4.35738754e-02 
 7.51510000e-01  7.51510000e-01  1.46080751e+00  4.33022430e-02 
 7.51520000e-01  7.51520000e-01  1.46112730e+00  4.30340522e-02 
 7.51530000e-01  7.51530000e-01  1.46144552e+00  4.27673964e-02 
 7.51540000e-01  7.51540000e-01  1.46176209e+00  4.25023995e-02 
 7.51550000e-01  7.51550000e-01  1.46207438e+00  4.22405377e-02 
 7.51560000e-01  7.51560000e-01  1.46238141e+00  4.19849244e-02 
 7.51570000e-01  7.51570000e-01  1.46268836e+00  4.17262827e-02 
 7.51580000e-01  7.51580000e-01  1.46299128e+00  4.14736225e-02 
 7.51590000e-01  7.51590000e-01  1.46329330e+00  4.12205346e-02 
 7.51600000e-01  7.51600000e-01  1.46359098e+00  4.09713696e-02 
 7.51610000e-01  7.51610000e-01  1.46388571e+00  4.07249433e-02 
 7.51620000e-01  7.51620000e-01  1.46417785e+00  4.04805633e-02 
