 time            v(VDD)          v(Vbias)        v(Vbiasc)       v(bias_en)      v(Vsu)          v(Vres)        
 1.43906629e-05  2.00859944e-01 -3.56401392e-02  4.20975610e-02  2.00859944e-01  6.18822804e-02 -1.28044145e-02 
 1.45156629e-05  2.02734944e-01 -3.55022957e-02  4.31109115e-02  2.02734944e-01  6.35331993e-02 -1.27996053e-02 
 1.46406629e-05  2.04609944e-01 -3.53634813e-02  4.41187215e-02  2.04609944e-01  6.50266965e-02 -1.27813995e-02 
 1.47656629e-05  2.06484944e-01 -3.52237659e-02  4.51208197e-02  2.06484944e-01  6.63645862e-02 -1.27761453e-02 
 1.48906629e-05  2.08359944e-01 -3.50831489e-02  4.61169959e-02  2.08359944e-01  6.75580937e-02 -1.27578987e-02 
 1.50156629e-05  2.10234944e-01 -3.49415525e-02  4.71068949e-02  2.10234944e-01  6.86311668e-02 -1.27522002e-02 
 1.51406629e-05  2.12109944e-01 -3.47987294e-02  4.80911104e-02  2.12109944e-01  6.96022736e-02 -1.27339099e-02 
 1.52656629e-05  2.13984944e-01 -3.46548916e-02  4.90694095e-02  2.13984944e-01  7.04850959e-02 -1.27278025e-02 
 1.53906629e-05  2.15859944e-01 -3.45101957e-02  5.00408178e-02  2.15859944e-01  7.13011025e-02 -1.27094669e-02 
 1.55156629e-05  2.17734944e-01 -3.43645940e-02  5.10054110e-02  2.17734944e-01  7.20682875e-02 -1.27029511e-02 
 1.56406629e-05  2.19609944e-01 -3.42180610e-02  5.19629329e-02  2.19609944e-01  7.28005946e-02 -1.26845688e-02 
 1.57656629e-05  2.21484944e-01 -3.40706030e-02  5.29132938e-02  2.21484944e-01  7.35083025e-02 -1.26776567e-02 
 1.58750100e-05  2.23125150e-01 -3.39408239e-02  5.37387355e-02  2.23125150e-01  7.41127392e-02 -1.26608372e-02 
 1.58750110e-05  2.23125165e-01 -3.39408836e-02  5.37387378e-02  2.23125165e-01  7.41127415e-02 -1.27113901e-02 
 1.58750130e-05  2.23125195e-01 -3.39410156e-02  5.37387412e-02  2.23125195e-01  7.41127454e-02 -1.28228853e-02 
 1.58750170e-05  2.23125255e-01 -3.39412748e-02  5.37387482e-02  2.23125255e-01  7.41127535e-02 -1.30418227e-02 
