 time            v(a_1V5)        v(b_3V3)        v(x1t)          v(a_3V3)        v(b_1V5)        v(x2t)         
 1.23559932e-08  1.50000000e+00  3.26257833e+00  2.60871000e-05  3.30000000e+00  1.49999988e+00 -1.90033568e-05 
 1.24559932e-08  1.50000000e+00  3.26447872e+00  2.48472029e-05  3.30000000e+00  1.50000002e+00  2.17342609e-05 
 1.25559932e-08  1.50000000e+00  3.26628330e+00  2.35390794e-05  3.30000000e+00  1.49999988e+00 -1.77432177e-05 
 1.26559932e-08  1.50000000e+00  3.26799681e+00  2.24234342e-05  3.30000000e+00  1.50000002e+00  2.05110768e-05 
 1.27559932e-08  1.50000000e+00  3.26962381e+00  2.12346028e-05  3.30000000e+00  1.49999988e+00 -1.65559105e-05 
 1.28559932e-08  1.50000000e+00  3.27116860e+00  2.02318053e-05  3.30000000e+00  1.50000002e+00  1.93586070e-05 
 1.29559932e-08  1.50000000e+00  3.27263528e+00  1.91513529e-05  3.30000000e+00  1.49999989e+00 -1.54372617e-05 
 1.30559932e-08  1.50000000e+00  3.27402775e+00  1.82509450e-05  3.30000000e+00  1.50000001e+00  1.82727990e-05 
 1.31559932e-08  1.50000000e+00  3.27534974e+00  1.72688743e-05  3.30000000e+00  1.49999989e+00 -1.43833366e-05 
 1.32559932e-08  1.50000000e+00  3.27660477e+00  1.64612842e-05  3.30000000e+00  1.50000001e+00  1.72498325e-05 
 1.33559932e-08  1.50000000e+00  3.27779621e+00  1.55684540e-05  3.30000000e+00  1.49999990e+00 -1.33904255e-05 
 1.34559932e-08  1.50000000e+00  3.27892723e+00  1.48449364e-05  3.30000000e+00  1.50000001e+00  1.62861055e-05 
 1.35559932e-08  1.50000000e+00  3.28000089e+00  1.40330021e-05  3.30000000e+00  1.49999990e+00 -1.24550314e-05 
 1.36559932e-08  1.50000000e+00  3.28102006e+00  1.33855798e-05  3.30000000e+00  1.50000001e+00  1.53782224e-05 
 1.37559932e-08  1.50000000e+00  3.28198749e+00  1.26469349e-05  3.30000000e+00  1.49999990e+00 -1.15738569e-05 
 1.38559932e-08  1.50000000e+00  3.28290578e+00  1.20683406e-05  3.30000000e+00  1.50000000e+00  1.45229818e-05 
 1.39559932e-08  1.50000000e+00  3.28377742e+00  1.13960610e-05  3.30000000e+00  1.49999990e+00 -1.07437938e-05 
 1.40559932e-08  1.50000000e+00  3.28460476e+00  1.08796828e-05  3.30000000e+00  1.50000000e+00  1.37173656e-05 
 1.41559932e-08  1.50000000e+00  3.28539003e+00  1.02674722e-05  3.30000000e+00  1.49999991e+00 -9.96191153e-06 
 1.42559932e-08  1.50000000e+00  3.28613537e+00  9.80730091e-06  3.30000000e+00  1.50000000e+00  1.29585284e-05 
 1.43559932e-08  1.50000000e+00  3.28684278e+00  9.24944037e-06  3.30000000e+00  1.49999991e+00 -9.22544729e-06 
 1.44559932e-08  1.50000000e+00  3.28751420e+00  8.84001979e-06  3.30000000e+00  1.50000000e+00  1.22437876e-05 
 1.45559932e-08  1.50000000e+00  3.28815144e+00  8.33131920e-06  3.30000000e+00  1.49999991e+00 -8.53179642e-06 
 1.46559932e-08  1.50000000e+00  3.28875623e+00  7.96769974e-06  3.30000000e+00  1.49999999e+00  1.15706142e-05 
 1.47559932e-08  1.50000000e+00  3.28933022e+00  7.50345329e-06  3.30000000e+00  1.49999991e+00 -7.87850335e-06 
 1.48559932e-08  1.50000000e+00  3.28987497e+00  7.18114811e-06  3.30000000e+00  1.49999999e+00  1.09366240e-05 
 1.49559932e-08  1.50000000e+00  3.29039196e+00  6.75709181e-06  3.30000000e+00  1.49999992e+00 -7.26325304e-06 
 1.50559932e-08  1.50000000e+00  3.29088261e+00  6.47203702e-06  3.30000000e+00  1.49999999e+00  1.03395691e-05 
 1.51559932e-08  1.50000000e+00  3.29134824e+00  6.08430998e-06  3.30000000e+00  1.49999992e+00 -6.68386295e-06 
 1.52559932e-08  1.50000000e+00  3.29179014e+00  5.83282638e-06  3.30000000e+00  1.49999999e+00  9.77733040e-06 
 1.53559932e-08  1.50000000e+00  3.29220950e+00  5.47793481e-06  3.30000000e+00  1.49999992e+00 -6.13827548e-06 
 1.54559932e-08  1.50000000e+00  3.29260748e+00  5.25669390e-06  3.30000000e+00  1.49999999e+00  9.24791009e-06 
 1.55559932e-08  1.50000000e+00  3.29298515e+00  4.93147779e-06  3.30000000e+00  1.49999992e+00 -5.62455080e-06 
 1.56559932e-08  1.50000000e+00  3.29334356e+00  4.73746942e-06  3.30000000e+00  1.49999998e+00  8.74942465e-06 
 1.57559932e-08  1.50000000e+00  3.29368367e+00  4.43907227e-06  3.30000000e+00  1.49999992e+00 -5.14086012e-06 
 1.58559932e-08  1.50000000e+00  3.29400644e+00  4.26957561e-06  3.30000000e+00  1.49999998e+00  8.28009842e-06 
 1.59559932e-08  1.50000000e+00  3.29431272e+00  3.99541612e-06  3.30000000e+00  1.49999992e+00 -4.68547933e-06 
 1.60559932e-08  1.50000000e+00  3.29460338e+00  3.84797288e-06  3.30000000e+00  1.49999998e+00  7.83825736e-06 
 1.61559932e-08  1.50000000e+00  3.29487919e+00  3.59571923e-06  3.30000000e+00  1.49999992e+00 -4.25678302e-06 
 1.62559932e-08  1.50000000e+00  3.29514092e+00  3.46810935e-06  3.30000000e+00  1.49999998e+00  7.42232328e-06 
 1.63559932e-08  1.50000000e+00  3.29538929e+00  3.23565609e-06  3.30000000e+00  1.49999993e+00 -3.85323883e-06 
 1.64559932e-08  1.50000000e+00  3.29562498e+00  3.12587462e-06  3.30000000e+00  1.49999998e+00  7.03080831e-06 
 1.65559932e-08  1.50000000e+00  3.29584862e+00  2.91132135e-06  3.30000000e+00  1.49999993e+00 -3.47340211e-06 
 1.66559932e-08  1.50000000e+00  3.29606085e+00  2.81755875e-06  3.30000000e+00  1.49999998e+00  6.66230980e-06 
 1.67559932e-08  1.50000000e+00  3.29626223e+00  2.61919018e-06  3.30000000e+00  1.49999993e+00 -3.11591093e-06 
 1.68559932e-08  1.50000000e+00  3.29645333e+00  2.53981363e-06  3.30000000e+00  1.49999998e+00  6.31550535e-06 
 1.69559932e-08  1.50000000e+00  3.29663466e+00  2.35608237e-06  3.30000000e+00  1.49999993e+00 -2.77948131e-06 
 1.70559932e-08  1.50000000e+00  3.29680673e+00  2.28961842e-06  3.30000000e+00  1.49999998e+00  5.98914830e-06 
 1.71559932e-08  1.50000000e+00  3.29697000e+00  2.11912871e-06  3.30000000e+00  1.49999993e+00 -2.46290280e-06 
 1.72559932e-08  1.50000000e+00  3.29712493e+00  2.06424869e-06  3.30000000e+00  1.49999997e+00  5.68206336e-06 
 1.73559932e-08  1.50000000e+00  3.29727195e+00  1.90574144e-06  3.30000000e+00  1.49999993e+00 -2.16503425e-06 
 1.74559932e-08  1.50000000e+00  3.29741145e+00  1.86124690e-06  3.30000000e+00  1.49999997e+00  5.39314253e-06 
 1.75559932e-08  1.50000000e+00  3.29754382e+00  1.71358724e-06  3.30000000e+00  1.49999993e+00 -1.88479985e-06 
 1.76559932e-08  1.50000000e+00  3.29766943e+00  1.67839760e-06  3.30000000e+00  1.49999997e+00  5.12134125e-06 
 1.77559932e-08  1.50000000e+00  3.29778861e+00  1.54056204e-06  3.30000000e+00  1.49999993e+00 -1.62118538e-06 
 1.78559932e-08  1.50000000e+00  3.29790170e+00  1.51370315e-06  3.30000000e+00  1.49999997e+00  4.86567477e-06 
 1.79559932e-08  1.50000000e+00  3.29800901e+00  1.38476922e-06  3.30000000e+00  1.49999993e+00 -1.37323469e-06 
 1.80559932e-08  1.50000000e+00  3.29811084e+00  1.36536302e-06  3.30000000e+00  1.49999997e+00  4.62521473e-06 
 1.81559932e-08  1.50000000e+00  3.29820746e+00  1.24449939e-06  3.30000000e+00  1.49999994e+00 -1.14004641e-06 
 1.82559932e-08  1.50000000e+00  3.29829914e+00  1.23175433e-06  3.30000000e+00  1.49999997e+00  4.39908593e-06 
 1.83559932e-08  1.50000000e+00  3.29838613e+00  1.11821164e-06  3.30000000e+00  1.49999994e+00 -9.20770757e-07 
 1.84559932e-08  1.50000000e+00  3.29846868e+00  1.11141455e-06  3.30000000e+00  1.49999997e+00  4.18646330e-06 
 1.85559932e-08  1.50000000e+00  3.29854700e+00  1.00451747e-06  3.30000000e+00  1.49999994e+00 -7.14606629e-07 
 1.86559932e-08  1.50000000e+00  3.29862132e+00  1.00302575e-06  3.30000000e+00  1.49999997e+00  3.98656901e-06 
 1.87559932e-08  1.50000000e+00  3.29869184e+00  9.02166028e-07  3.30000000e+00  1.49999994e+00 -5.20798802e-07 
 1.88559932e-08  1.50000000e+00  3.29875875e+00  9.05400530e-07  3.30000000e+00  1.49999997e+00  3.79866978e-06 
 1.89559932e-08  1.50000000e+00  3.29882224e+00  8.10029829e-07  3.30000000e+00  1.49999994e+00 -3.38635306e-07 
 1.90559932e-08  1.50000000e+00  3.29888249e+00  8.17469019e-07  3.30000000e+00  1.49999997e+00  3.62207433e-06 
 1.91559932e-08  1.50000000e+00  3.29893965e+00  7.27093500e-07  3.30000000e+00  1.49999994e+00 -1.67444950e-07 
 1.92559932e-08  1.50000000e+00  3.29899389e+00  7.38267382e-07  3.30000000e+00  1.49999997e+00  3.45613098e-06 
 1.93559932e-08  1.50000000e+00  3.29904535e+00  6.52442096e-07  3.30000000e+00  1.49999994e+00 -6.59499069e-09 
 1.94559932e-08  1.50000000e+00  3.29909419e+00  6.66927451e-07  3.30000000e+00  1.49999997e+00  3.30022537e-06 
