 time            v(VDD)          v(Vbias)        v(bias_en)      v(Vsu)         
 6.01250000e-05  8.86875000e-01  2.74648450e-02  8.86875000e-01  2.52063431e-01 
 6.03750000e-05  8.90625000e-01  2.78821853e-02  8.90625000e-01  2.52941044e-01 
 6.06250000e-05  8.94375000e-01  2.83029440e-02  8.94375000e-01  2.53819311e-01 
 6.08750000e-05  8.98125000e-01  2.87271050e-02  8.98125000e-01  2.54698231e-01 
 6.11250000e-05  9.01875000e-01  2.91546517e-02  9.01875000e-01  2.55577801e-01 
 6.13750000e-05  9.05625000e-01  2.95855664e-02  9.05625000e-01  2.56458018e-01 
 6.16250000e-05  9.09375000e-01  3.00198310e-02  9.09375000e-01  2.57338876e-01 
 6.18750000e-05  9.13125000e-01  3.04574266e-02  9.13125000e-01  2.58220370e-01 
 6.21250000e-05  9.16875000e-01  3.08983337e-02  9.16875000e-01  2.59102494e-01 
 6.23750000e-05  9.20625000e-01  3.13425319e-02  9.20625000e-01  2.59985238e-01 
 6.26250000e-05  9.24375000e-01  3.17900003e-02  9.24375000e-01  2.60868593e-01 
 6.28750000e-05  9.28125000e-01  3.22407172e-02  9.28125000e-01  2.61752550e-01 
 6.31250000e-05  9.31875000e-01  3.26946603e-02  9.31875000e-01  2.62637096e-01 
 6.33750000e-05  9.35625000e-01  3.31518063e-02  9.35625000e-01  2.63522218e-01 
 6.36250000e-05  9.39375000e-01  3.36121314e-02  9.39375000e-01  2.64407904e-01 
 6.38750000e-05  9.43125000e-01  3.40756111e-02  9.43125000e-01  2.65294138e-01 
 6.41250000e-05  9.46875000e-01  3.45422198e-02  9.46875000e-01  2.66180904e-01 
 6.43750000e-05  9.50625000e-01  3.50119317e-02  9.50625000e-01  2.67068184e-01 
 6.46250000e-05  9.54375000e-01  3.54847197e-02  9.54375000e-01  2.67955959e-01 
 6.48750000e-05  9.58125000e-01  3.59605563e-02  9.58125000e-01  2.68844211e-01 
 6.51250000e-05  9.61875000e-01  3.64394132e-02  9.61875000e-01  2.69732917e-01 
 6.53750000e-05  9.65625000e-01  3.69212612e-02  9.65625000e-01  2.70622057e-01 
 6.56250000e-05  9.69375000e-01  3.74060703e-02  9.69375000e-01  2.71511606e-01 
 6.58750000e-05  9.73125000e-01  3.78938101e-02  9.73125000e-01  2.72401540e-01 
 6.61250000e-05  9.76875000e-01  3.83844489e-02  9.76875000e-01  2.73291834e-01 
 6.63750000e-05  9.80625000e-01  3.88779547e-02  9.80625000e-01  2.74182460e-01 
 6.66250000e-05  9.84375000e-01  3.93742943e-02  9.84375000e-01  2.75073389e-01 
 6.68750000e-05  9.88125000e-01  3.98734339e-02  9.88125000e-01  2.75964594e-01 
 6.71250000e-05  9.91875000e-01  4.03753389e-02  9.91875000e-01  2.76856042e-01 
 6.73750000e-05  9.95625000e-01  4.08799738e-02  9.95625000e-01  2.77747703e-01 
 6.76250000e-05  9.99375000e-01  4.13873025e-02  9.99375000e-01  2.78639542e-01 
 6.78750000e-05  1.00312500e+00  4.18972878e-02  1.00312500e+00  2.79531525e-01 
 6.81250000e-05  1.00687500e+00  4.24098918e-02  1.00687500e+00  2.80423616e-01 
 6.83750000e-05  1.01062500e+00  4.29250760e-02  1.01062500e+00  2.81315779e-01 
 6.86250000e-05  1.01437500e+00  4.34428007e-02  1.01437500e+00  2.82207975e-01 
 6.88750000e-05  1.01812500e+00  4.39630258e-02  1.01812500e+00  2.83100164e-01 
 6.91250000e-05  1.02187500e+00  4.44857100e-02  1.02187500e+00  2.83992306e-01 
 6.93750000e-05  1.02562500e+00  4.50108114e-02  1.02562500e+00  2.84884358e-01 
 6.96250000e-05  1.02937500e+00  4.55382871e-02  1.02937500e+00  2.85776277e-01 
 6.98750000e-05  1.03312500e+00  4.60680935e-02  1.03312500e+00  2.86668018e-01 
 7.01250000e-05  1.03687500e+00  4.66001860e-02  1.03687500e+00  2.87559535e-01 
 7.03750000e-05  1.04062500e+00  4.71345193e-02  1.04062500e+00  2.88450780e-01 
 7.06250000e-05  1.04437500e+00  4.76710475e-02  1.04437500e+00  2.89341704e-01 
