 frequency       v(CMRR_dB)      v(CMRR_arg)    
 2.32453791e+02  4.87530682e+01 -8.43457872e+01 
 2.37814113e+02  4.85571454e+01 -8.42262630e+01 
 2.43298042e+02  4.83613193e+01 -8.41038184e+01 
 2.48908429e+02  4.81655945e+01 -8.39784036e+01 
 2.54648190e+02  4.79699754e+01 -8.38499538e+01 
 2.60520309e+02  4.77744671e+01 -8.37184136e+01 
 2.66527837e+02  4.75790745e+01 -8.35837203e+01 
 2.72673897e+02  4.73838029e+01 -8.34458119e+01 
 2.78961683e+02  4.71886579e+01 -8.33046286e+01 
 2.85394464e+02  4.69936450e+01 -8.31601022e+01 
 2.91975583e+02  4.67987707e+01 -8.30121675e+01 
 2.98708461e+02  4.66040410e+01 -8.28607557e+01 
 3.05596598e+02  4.64094623e+01 -8.27058028e+01 
 3.12643573e+02  4.62150413e+01 -8.25472392e+01 
 3.19853049e+02  4.60207856e+01 -8.23849958e+01 
 3.27228774e+02  4.58267028e+01 -8.22190019e+01 
 3.34774581e+02  4.56327999e+01 -8.20491829e+01 
 3.42494392e+02  4.54390858e+01 -8.18754676e+01 
 3.50392221e+02  4.52455685e+01 -8.16977819e+01 
 3.58472171e+02  4.50522570e+01 -8.15160545e+01 
 3.66738442e+02  4.48591605e+01 -8.13302046e+01 
 3.75195331e+02  4.46662882e+01 -8.11401557e+01 
 3.83847234e+02  4.44736507e+01 -8.09458347e+01 
 3.92698648e+02  4.42812580e+01 -8.07471595e+01 
 4.01754173e+02  4.40891211e+01 -8.05440535e+01 
