 frequency       v(L_dB)         v(L_arg)        v(Tmb_dB)       v(Tmb_arg)      v(Ttian_dB)     v(Ttian_arg)   
 5.40347650e-01  5.41125432e+01  1.48061260e+02  4.01996061e+01  5.06939803e+01  4.01987716e+01  5.06956049e+01 
 5.52807921e-01  5.47570888e+01  1.48455948e+02  4.03456853e+01  5.10166627e+01  4.03448523e+01  5.10182931e+01 
 5.65555523e-01  5.54281530e+01  1.48827759e+02  4.04930991e+01  5.13275727e+01  4.04922676e+01  5.13292098e+01 
 5.78597080e-01  5.61288450e+01  1.49173578e+02  4.06417967e+01  5.16265037e+01  4.06409668e+01  5.16281481e+01 
 5.91939372e-01  5.68628743e+01  1.49489513e+02  4.07917267e+01  5.19132591e+01  4.07908984e+01  5.19149115e+01 
 6.05589334e-01  5.76347139e+01  1.49770619e+02  4.09428371e+01  5.21876527e+01  4.09420104e+01  5.21893138e+01 
 6.19554061e-01  5.84498205e+01  1.50010495e+02  4.10950755e+01  5.24495083e+01  4.10942505e+01  5.24511788e+01 
 6.33840810e-01  5.93149415e+01  1.50200680e+02  4.12483893e+01  5.26986596e+01  4.12475660e+01  5.27003402e+01 
 6.48457008e-01  6.02385512e+01  1.50329729e+02  4.14027253e+01  5.29349500e+01  4.14019038e+01  5.29366414e+01 
 6.63410251e-01  6.12314850e+01  1.50381755e+02  4.15580301e+01  5.31582323e+01  4.15572104e+01  5.31599352e+01 
 6.78708313e-01  6.23078955e+01  1.50334009e+02  4.17142503e+01  5.33683685e+01  4.17134325e+01  5.33700836e+01 
 6.94359143e-01  6.34867378e+01  1.50152717e+02  4.18713321e+01  5.35652296e+01  4.18705162e+01  5.35669576e+01 
 7.10370877e-01  6.47941812e+01  1.49785482e+02  4.20292215e+01  5.37486954e+01  4.20284077e+01  5.37504369e+01 
 7.26751838e-01  6.62677190e+01  1.49146447e+02  4.21878647e+01  5.39186541e+01  4.21870529e+01  5.39204098e+01 
 7.43510539e-01  6.79636011e+01  1.48084757e+02  4.23472074e+01  5.40750021e+01  4.23463978e+01  5.40767726e+01 
 7.60655691e-01  6.99712333e+01  1.46309699e+02  4.25071957e+01  5.42176441e+01  4.25063883e+01  5.42194301e+01 
 7.78196206e-01  7.24432265e+01  1.43184715e+02  4.26677753e+01  5.43464923e+01  4.26669701e+01  5.43482944e+01 
 7.96141200e-01  7.56600543e+01  1.37032030e+02  4.28288919e+01  5.44614667e+01  4.28280892e+01  5.44632856e+01 
 8.14500001e-01  8.00999578e+01  1.22060057e+02  4.29904916e+01  5.45624946e+01  4.29896912e+01  5.45643308e+01 
 8.33282151e-01  8.46156282e+01  7.68801782e+01  4.31525199e+01  5.46495105e+01  4.31517221e+01  5.46513648e+01 
 8.52497412e-01  8.15633818e+01  2.29849592e+01  4.33149228e+01  5.47224560e+01  4.33141276e+01  5.47243288e+01 
 8.72155772e-01  7.71655240e+01  4.05000102e+00  4.34776461e+01  5.47812794e+01  4.34768536e+01  5.47831715e+01 
 8.92267449e-01  7.40774163e+01 -3.28907635e+00  4.36406355e+01  5.48259359e+01  4.36398459e+01  5.48278478e+01 
 9.12842895e-01  7.18222180e+01 -6.91883205e+00  4.38038371e+01  5.48563874e+01  4.38030503e+01  5.48583196e+01 
 9.33892805e-01  7.00781574e+01 -8.98097090e+00  4.39671966e+01  5.48726019e+01  4.39664128e+01  5.48745550e+01 
 9.55428121e-01  6.86718871e+01 -1.02474511e+01  4.41306599e+01  5.48745543e+01  4.41298793e+01  5.48765288e+01 
 9.77460036e-01  6.75035343e+01 -1.10588348e+01  4.42941730e+01  5.48622255e+01  4.42933956e+01  5.48642219e+01 
 1.00000000e+00  6.65111379e+01 -1.15875685e+01  4.44576817e+01  5.48356029e+01  4.44569076e+01  5.48376218e+01 
 1.02305973e+00  6.56538482e+01 -1.19300153e+01  4.46211319e+01  5.47946802e+01  4.46203613e+01  5.47967220e+01 
 1.04665121e+00  6.49033940e+01 -1.21441383e+01  4.47844694e+01  5.47394575e+01  4.47837024e+01  5.47415226e+01 
 1.07078670e+00  6.42394325e+01 -1.22668482e+01  4.49476402e+01  5.46699410e+01  4.49468769e+01  5.46720299e+01 
 1.09547876e+00  6.36468510e+01 -1.23227400e+01  4.51105901e+01  5.45861435e+01  4.51098307e+01  5.45882567e+01 
 1.12074020e+00  6.31141234e+01 -1.23288187e+01  4.52732649e+01  5.44880844e+01  4.52725094e+01  5.44902221e+01 
 1.14658417e+00  6.26322605e+01 -1.22972058e+01  4.54356105e+01  5.43757893e+01  4.54348591e+01  5.43779520e+01 
