 frequency       v(Tmb_dB)       v(Tmb_arg)     
 1.68936220e+02  4.59091228e+01 -6.72811313e+01 
 1.72831844e+02  4.57380668e+01 -6.77528396e+01 
 1.76817299e+02  4.55659655e+01 -6.82166873e+01 
 1.80894658e+02  4.53928537e+01 -6.86727073e+01 
 1.85066040e+02  4.52187652e+01 -6.91209392e+01 
 1.89333613e+02  4.50437334e+01 -6.95614282e+01 
 1.93699595e+02  4.48677908e+01 -6.99942257e+01 
 1.98166255e+02  4.46909690e+01 -7.04193874e+01 
 2.02735916e+02  4.45132991e+01 -7.08369743e+01 
 2.07410951e+02  4.43348113e+01 -7.12470518e+01 
 2.12193792e+02  4.41555350e+01 -7.16496897e+01 
 2.17086923e+02  4.39754989e+01 -7.20449613e+01 
 2.22092889e+02  4.37947308e+01 -7.24329434e+01 
 2.27214291e+02  4.36132578e+01 -7.28137163e+01 
 2.32453791e+02  4.34311063e+01 -7.31873633e+01 
 2.37814113e+02  4.32483016e+01 -7.35539698e+01 
 2.43298042e+02  4.30648687e+01 -7.39136247e+01 
 2.48908429e+02  4.28808313e+01 -7.42664176e+01 
 2.54648190e+02  4.26962129e+01 -7.46124416e+01 
 2.60520309e+02  4.25110358e+01 -7.49517900e+01 
 2.66527837e+02  4.23253218e+01 -7.52845590e+01 
 2.72673897e+02  4.21390920e+01 -7.56108447e+01 
 2.78961683e+02  4.19523667e+01 -7.59307457e+01 
 2.85394464e+02  4.17651655e+01 -7.62443600e+01 
 2.91975583e+02  4.15775073e+01 -7.65517878e+01 
 2.98708461e+02  4.13894106e+01 -7.68531283e+01 
 3.05596598e+02  4.12008928e+01 -7.71484823e+01 
 3.12643573e+02  4.10119710e+01 -7.74379505e+01 
 3.19853049e+02  4.08226617e+01 -7.77216332e+01 
 3.27228774e+02  4.06329806e+01 -7.79996319e+01 
 3.34774581e+02  4.04429430e+01 -7.82720465e+01 
 3.42494392e+02  4.02525635e+01 -7.85389778e+01 
 3.50392221e+02  4.00618561e+01 -7.88005259e+01 
 3.58472171e+02  3.98708346e+01 -7.90567905e+01 
 3.66738442e+02  3.96795119e+01 -7.93078704e+01 
 3.75195331e+02  3.94879005e+01 -7.95538643e+01 
 3.83847234e+02  3.92960126e+01 -7.97948701e+01 
 3.92698648e+02  3.91038598e+01 -8.00309848e+01 
 4.01754173e+02  3.89114531e+01 -8.02623047e+01 
 4.11018515e+02  3.87188033e+01 -8.04889257e+01 
 4.20496491e+02  3.85259207e+01 -8.07109421e+01 
 4.30193027e+02  3.83328150e+01 -8.09284474e+01 
 4.40113162e+02  3.81394959e+01 -8.11415345e+01 
 4.50262052e+02  3.79459724e+01 -8.13502953e+01 
