 time            v(clk)          v(voutp)        v(voutn)        v(vinp)         v(vinn)        
 2.97776377e-07  1.50000000e+00  1.11464937e-06  1.49999880e+00  7.26478882e-01  7.50000000e-01 
 3.14510000e-07  1.50000000e+00  7.53858190e-07  1.49999909e+00  7.26562550e-01  7.50000000e-01 
 3.14511000e-07  1.35000000e+00  4.58357896e-03  1.50424211e+00  7.26562555e-01  7.50000000e-01 
 3.14513000e-07  1.05000000e+00  1.39804304e-02  1.51314228e+00  7.26562565e-01  7.50000000e-01 
 3.14517000e-07  4.50000000e-01  2.95545937e-02  1.50092232e+00  7.26562585e-01  7.50000000e-01 
 3.14520000e-07  0.00000000e+00  3.18334043e-02  1.44089685e+00  7.26562600e-01  7.50000000e-01 
 3.14520611e-07  0.00000000e+00  2.74409897e-02  1.42022912e+00  7.26562603e-01  7.50000000e-01 
 3.14521833e-07  0.00000000e+00  1.78697497e-02  1.37824908e+00  7.26562609e-01  7.50000000e-01 
 3.14524276e-07  0.00000000e+00  3.33056836e-03  1.29921218e+00  7.26562621e-01  7.50000000e-01 
 3.14528778e-07  0.00000000e+00 -1.04136970e-02  1.17022068e+00  7.26562644e-01  7.50000000e-01 
 3.14537781e-07  0.00000000e+00 -1.76105554e-02  9.57978484e-01  7.26562689e-01  7.50000000e-01 
 3.14552715e-07  0.00000000e+00 -1.52036250e-02  6.92215568e-01  7.26562764e-01  7.50000000e-01 
 3.14573808e-07  0.00000000e+00  3.50785249e-02  4.30533287e-01  7.26562869e-01  7.50000000e-01 
 3.14596722e-07  0.00000000e+00  1.10609376e-01  2.65584328e-01  7.26562984e-01  7.50000000e-01 
 3.14626061e-07  0.00000000e+00  1.59811710e-01  1.80035545e-01  7.26563130e-01  7.50000000e-01 
 3.14665079e-07  0.00000000e+00  1.68628847e-01  1.51914935e-01  7.26563325e-01  7.50000000e-01 
 3.14703525e-07  0.00000000e+00  1.56220293e-01  1.46963137e-01  7.26563518e-01  7.50000000e-01 
 3.14763322e-07  0.00000000e+00  1.35845626e-01  1.36461703e-01  7.26563817e-01  7.50000000e-01 
 3.14857701e-07  0.00000000e+00  1.09622481e-01  1.12931075e-01  7.26564289e-01  7.50000000e-01 
