time,a_1V5,x1t,b_3V3
2.485599320000000034e+01,1.500000000000000000e+00,5.548177790000000045e-08,3.299946859999999926e+00
2.495599319999999821e+01,1.500000000000000000e+00,1.855802030000000132e-08,3.299949569999999888e+00
2.505599319999999963e+01,1.500000000000000000e+00,5.147338340000000020e-08,3.299952150000000195e+00
2.515599320000000105e+01,1.500000000000000000e+00,1.524201929999999963e-08,3.299954599999999960e+00
2.525599319999999892e+01,1.500000000000000000e+00,4.784037059999999926e-08,3.299956930000000010e+00
2.535599320000000034e+01,1.500000000000000000e+00,1.228089440000000034e-08,3.299959129999999963e+00
2.545599320000000176e+01,1.500000000000000000e+00,4.454538820000000084e-08,3.299961220000000139e+00
2.555599319999999963e+01,1.500000000000000000e+00,9.639154569999999629e-09,3.299963200000000096e+00
2.565599320000000105e+01,1.500000000000000000e+00,4.155481260000000035e-08,3.299965090000000156e+00
2.575599319999999892e+01,1.500000000000000000e+00,7.284813200000000393e-09,3.299966869999999997e+00
2.585599320000000034e+01,1.500000000000000000e+00,3.883848390000000049e-08,3.299968569999999879e+00
2.595599319999999821e+01,1.500000000000000000e+00,5.189163030000000364e-09,3.299970179999999864e+00
2.605599319999999963e+01,1.500000000000000000e+00,3.636904469999999898e-08,3.299971699999999952e+00
2.615599320000000105e+01,1.500000000000000000e+00,3.326312630000000201e-09,3.299973150000000022e+00
2.625599320000000247e+01,1.500000000000000000e+00,3.412200830000000041e-08,3.299974520000000133e+00
2.635599320000000034e+01,1.500000000000000000e+00,1.673075970000000014e-09,3.299975830000000165e+00
2.645599319999999821e+01,1.500000000000000000e+00,3.207522979999999816e-08,3.299977059999999796e+00
2.655599319999999963e+01,1.500000000000000000e+00,2.082455209999999976e-10,3.299978240000000174e+00
2.665599319999999750e+01,1.500000000000000000e+00,3.020893899999999980e-08,3.299979350000000089e+00
2.675599319999999892e+01,1.500000000000000000e+00,-1.086874840000000045e-09,3.299980409999999864e+00
2.685599320000000034e+01,1.500000000000000000e+00,2.850521029999999869e-08,3.299981410000000004e+00
2.695599320000000176e+01,1.500000000000000000e+00,-2.229456049999999849e-09,3.299982360000000003e+00
2.705599319999999963e+01,1.500000000000000000e+00,2.694797869999999900e-08,3.299983259999999863e+00
2.715599320000000105e+01,1.500000000000000000e+00,-3.234737130000000180e-09,3.299984119999999965e+00
2.725599319999999892e+01,1.500000000000000000e+00,2.552260550000000128e-08,3.299984929999999927e+00
2.735599320000000034e+01,1.500000000000000000e+00,-4.116476399999999924e-09,3.299985700000000133e+00
2.745599319999999821e+01,1.500000000000000000e+00,2.421616399999999926e-08,3.299986430000000137e+00
2.755599319999999963e+01,1.500000000000000000e+00,-4.887090109999999792e-09,3.299987129999999880e+00
