time,Vclk,Vs,Vctail,Vcpp,Vcpn,Voutp,Voutn
3.390273049999999699e+01,1.500000000000000000e+00,3.545570710000000014e-01,3.539258069999999812e-01,1.177167520000000023e+00,1.135920980000000080e+00,7.194927370000000488e-01,1.310719780000000039e-03
3.422273050000000438e+01,1.500000000000000000e+00,3.549508980000000147e-01,3.543268809999999824e-01,1.176811100000000110e+00,1.135508519999999910e+00,7.317103929999999590e-01,1.240365889999999914e-03
3.454273050000000467e+01,1.500000000000000000e+00,3.553400050000000143e-01,3.547230719999999726e-01,1.176459050000000062e+00,1.135101480000000107e+00,7.439078319999999911e-01,1.177061789999999959e-03
3.486273049999999785e+01,1.500000000000000000e+00,3.557244980000000001e-01,3.551144940000000028e-01,1.176111249999999941e+00,1.134699729999999906e+00,7.560839230000000466e-01,1.119866709999999942e-03
3.518273049999999813e+01,1.500000000000000000e+00,3.561044820000000000e-01,3.555012550000000160e-01,1.175767599999999913e+00,1.134303159999999977e+00,7.682375989999999932e-01,1.067989459999999988e-03
3.550273049999999841e+01,1.500000000000000000e+00,3.564800579999999885e-01,3.558834599999999848e-01,1.175428010000000079e+00,1.133911649999999938e+00,7.803678469999999479e-01,1.020760029999999994e-03
3.582273049999999870e+01,1.500000000000000000e+00,3.568513229999999981e-01,3.562612119999999938e-01,1.175092379999999936e+00,1.133525069999999912e+00,7.924737179999999936e-01,9.776070860000000019e-04
3.614273050000000609e+01,1.500000000000000000e+00,3.572183700000000073e-01,3.566346089999999913e-01,1.174760620000000033e+00,1.133143330000000004e+00,8.045543210000000167e-01,9.380402489999999918e-04
3.646273049999999927e+01,1.500000000000000000e+00,3.575812919999999950e-01,3.570037460000000107e-01,1.174432640000000028e+00,1.132766310000000054e+00,8.166088249999999826e-01,9.016357429999999817e-04
3.678273049999999955e+01,1.500000000000000000e+00,3.579401750000000271e-01,3.573687170000000024e-01,1.174108350000000023e+00,1.132393900000000064e+00,8.286364609999999908e-01,8.680248259999999612e-04
3.710273049999999984e+01,1.500000000000000000e+00,3.582951070000000016e-01,3.577296090000000039e-01,1.173787670000000061e+00,1.132026009999999916e+00,8.406365220000000527e-01,8.368842959999999885e-04
3.742273050000000012e+01,1.500000000000000000e+00,3.586461699999999864e-01,3.580865109999999962e-01,1.173470519999999961e+00,1.131662530000000055e+00,8.526083620000000085e-01,8.079286150000000027e-04
3.774273050000000040e+01,1.500000000000000000e+00,3.589934439999999949e-01,3.584395060000000188e-01,1.173156800000000111e+00,1.131303380000000081e+00,8.645514039999999678e-01,7.809033059999999707e-04
3.806273050000000069e+01,1.500000000000000000e+00,3.593370080000000133e-01,3.587886759999999731e-01,1.172846459999999924e+00,1.130948459999999933e+00,8.764651340000000346e-01,7.555793079999999998e-04
3.838273050000000097e+01,1.500000000000000000e+00,3.596769369999999744e-01,3.591341000000000117e-01,1.172539390000000070e+00,1.130597690000000100e+00,8.883491079999999984e-01,7.317480850000000411e-04
3.870273050000000126e+01,1.500000000000000000e+00,3.600133039999999784e-01,3.594758539999999836e-01,1.172235539999999965e+00,1.130250970000000077e+00,9.002029520000000007e-01,7.092172720000000478e-04
3.902273050000000154e+01,1.500000000000000000e+00,3.603461809999999876e-01,3.598140129999999881e-01,1.171934809999999993e+00,1.129908219999999908e+00,9.120263659999999772e-01,6.878067149999999696e-04
3.934273050000000183e+01,1.500000000000000000e+00,3.606756380000000206e-01,3.601486489999999874e-01,1.171637129999999916e+00,1.129569360000000078e+00,9.238191239999999915e-01,6.673447579999999520e-04
3.966273049999999500e+01,1.500000000000000000e+00,3.610017400000000154e-01,3.604798309999999728e-01,1.171342429999999935e+00,1.129234319999999903e+00,9.355810770000000387e-01,6.476646679999999850e-04
3.998273050000000239e+01,1.500000000000000000e+00,3.613245540000000200e-01,3.608076299999999903e-01,1.171050609999999992e+00,1.128903009999999929e+00,9.473121540000000174e-01,6.286010899999999735e-04
4.030273050000000268e+01,1.500000000000000000e+00,3.616441429999999735e-01,3.611321089999999789e-01,1.170761600000000069e+00,1.128575359999999916e+00,9.590123619999999516e-01,6.099864700000000436e-04
4.062273050000000296e+01,1.500000000000000000e+00,3.619605679999999825e-01,3.614533340000000150e-01,1.170475310000000047e+00,1.128251310000000007e+00,9.706817829999999647e-01,5.916474170000000097e-04
4.094273050000000325e+01,1.500000000000000000e+00,3.622738899999999873e-01,3.617713659999999831e-01,1.170191650000000028e+00,1.127930780000000022e+00,9.823205680000000051e-01,5.734010650000000327e-04
4.126273049999999643e+01,1.500000000000000000e+00,3.625841670000000128e-01,3.620862679999999889e-01,1.169910510000000015e+00,1.127613699999999941e+00,9.939289249999999631e-01,5.550516039999999537e-04
4.158273049999999671e+01,1.500000000000000000e+00,3.628914549999999739e-01,3.623980969999999746e-01,1.169631789999999949e+00,1.127300009999999908e+00,1.005507099999999987e+00,5.363874330000000445e-04
4.190273050000000410e+01,1.500000000000000000e+00,3.631958100000000078e-01,3.627069099999999935e-01,1.169355359999999955e+00,1.126989650000000065e+00,1.017055349999999914e+00,5.171797139999999553e-04
