t_analog,t_recon,analog_signal,spikes,recon
6.372840976771888529e-05,3.907028200000000062e-01,2.008968731317672063e+00,2.500000000000000000e-01,8.250000000000003997e-01
6.402620607504466959e-05,3.919717600000000024e-01,2.010268708219154377e+00,2.500000000000000000e-01,9.281250000000004219e-01
6.432400238237046745e-05,3.931812199999999979e-01,2.011563639851017271e+00,2.500000000000000000e-01,1.031250000000000444e+00
6.462179868969625176e-05,3.943682800000000155e-01,2.012853508078797482e+00,2.500000000000000000e-01,1.134375000000000355e+00
6.491959499702203607e-05,3.955159400000000103e-01,2.014138294838943022e+00,2.500000000000000000e-01,1.237500000000000266e+00
6.521739130434783393e-05,3.966386399999999868e-01,2.015417982139061870e+00,2.500000000000000000e-01,1.340625000000000178e+00
6.551518761167361823e-05,3.977482600000000201e-01,2.016692552058176435e+00,2.500000000000000000e-01,1.443750000000000089e+00
6.581298391899940254e-05,3.988285799999999881e-01,2.017961986746974024e+00,2.500000000000000000e-01,1.546875000000000000e+00
6.611078022632520040e-05,3.999265000000000181e-01,2.019226268428056414e+00,2.500000000000000000e-01,1.649999999999999911e+00
6.640857653365098471e-05,4.010199400000000192e-01,2.020485379396188996e+00,2.500000000000000000e-01,1.753124999999999822e+00
6.670637284097676901e-05,4.021233200000000063e-01,2.021739302018549012e+00,2.500000000000000000e-01,1.856249999999999734e+00
6.700416914830256687e-05,4.032369000000000092e-01,2.022988018734972027e+00,2.500000000000000000e-01,1.959374999999999645e+00
6.730196545562835118e-05,4.043786400000000114e-01,2.024231512058198401e+00,2.500000000000000000e-01,2.062499999999999556e+00
6.759976176295414904e-05,4.055289400000000044e-01,2.025469764574117537e+00,2.500000000000000000e-01,2.165624999999999467e+00
6.789755807027993335e-05,4.067031199999999735e-01,2.026702758942012128e+00,2.500000000000000000e-01,2.268749999999999378e+00
