t_analog,t_recon,analog_signal,spikes,recon,th
9.323770491803278816e-05,5.570831000000000532e-01,2.110698403888914054e+00,-2.500000000000000000e-01,1.005468749999995248e+00,2.062499999999999889e-01
9.375000000000000195e-05,5.596012000000000208e-01,2.111939766255643391e+00,-2.500000000000000000e-01,7.992187499999952038e-01,2.062499999999999889e-01
9.426229508196721574e-05,5.624260800000000504e-01,2.113161984125747406e+00,-2.500000000000000000e-01,5.929687499999951594e-01,2.062499999999999889e-01
9.477459016393442954e-05,5.658984200000000131e-01,2.114365006845986272e+00,-2.500000000000000000e-01,3.867187499999951705e-01,2.062499999999999889e-01
9.528688524590164333e-05,5.716189799999999988e-01,2.115548784558637596e+00,-2.500000000000000000e-01,1.804687499999951816e-01,5.156249999999999722e-02
9.579918032786885712e-05,5.817239199999999499e-01,2.116713268203564535e+00,2.500000000000000000e-01,2.835937499999952038e-01,1.031249999999999944e-01
9.631147540983607091e-05,5.829526800000000009e-01,2.117858409520246621e+00,2.500000000000000000e-01,3.351562499999952149e-01,5.156249999999999722e-02
9.682377049180328470e-05,5.840203000000000477e-01,2.118984161049782600e+00,2.500000000000000000e-01,3.867187499999952260e-01,5.156249999999999722e-02
9.733606557377049850e-05,5.858891000000000515e-01,2.120090476136854640e+00,2.500000000000000000e-01,4.898437499999952482e-01,1.031249999999999944e-01
9.784836065573771229e-05,5.890225599999999728e-01,2.121177308931664562e+00,2.500000000000000000e-01,6.960937499999952927e-01,2.062499999999999889e-01
9.836065573770492608e-05,5.916629599999999600e-01,2.122244614391830542e+00,2.500000000000000000e-01,9.023437499999953371e-01,2.062499999999999889e-01
9.887295081967213987e-05,5.940759599999999585e-01,2.123292348284258058e+00,2.500000000000000000e-01,1.108593749999995381e+00,2.062499999999999889e-01
9.938524590163935366e-05,5.963634799999999458e-01,2.124320467186969097e+00,2.500000000000000000e-01,1.314843749999995426e+00,2.062499999999999889e-01
9.989754098360656745e-05,5.985611199999999466e-01,2.125328928490905600e+00,2.500000000000000000e-01,1.521093749999995470e+00,2.062499999999999889e-01
1.004098360655737812e-04,6.007500599999999746e-01,2.126317690401691163e+00,2.500000000000000000e-01,1.727343749999995515e+00,2.062499999999999889e-01
1.009221311475409950e-04,6.029592000000000285e-01,2.127286711941366537e+00,2.500000000000000000e-01,1.933593749999995559e+00,2.062499999999999889e-01
1.014344262295082088e-04,6.052324799999999616e-01,2.128235952950086496e+00,2.500000000000000000e-01,2.139843749999995381e+00,2.062499999999999889e-01
1.019467213114754226e-04,6.076187199999999455e-01,2.129165374087783835e+00,2.500000000000000000e-01,2.346093749999995204e+00,2.062499999999999889e-01
1.024590163934426364e-04,6.102218600000000048e-01,2.130074936835800958e+00,2.500000000000000000e-01,2.552343749999995026e+00,2.062499999999999889e-01
1.029713114754098502e-04,6.131767999999999663e-01,2.130964603498484600e+00,2.500000000000000000e-01,2.758593749999994849e+00,2.062499999999999889e-01
1.034836065573770640e-04,6.169740200000000119e-01,2.131834337204750796e+00,2.500000000000000000e-01,2.964843749999994671e+00,2.062499999999999889e-01
1.039959016393442642e-04,6.304815599999999964e-01,2.132684101909608998e+00,-2.500000000000000000e-01,3.067968749999994582e+00,5.156249999999999722e-02
1.045081967213114780e-04,6.312223599999999823e-01,2.133513862395659988e+00,-2.500000000000000000e-01,3.042187499999994493e+00,2.578124999999999861e-02
1.050204918032786918e-04,6.319011599999999618e-01,2.134323584274552488e+00,-2.500000000000000000e-01,3.016406249999994404e+00,2.578124999999999861e-02
1.055327868852459056e-04,6.331368400000000340e-01,2.135113233988409576e+00,-2.500000000000000000e-01,2.964843749999994227e+00,5.156249999999999722e-02
1.060450819672131194e-04,6.351331199999999955e-01,2.135882778811219129e+00,-2.500000000000000000e-01,2.861718749999994316e+00,1.031249999999999944e-01
1.065573770491803332e-04,6.383840400000000415e-01,2.136632186850190962e+00,-2.500000000000000000e-01,2.655468749999994493e+00,2.062499999999999889e-01
1.070696721311475470e-04,6.411236799999999736e-01,2.137361427047077544e+00,-2.500000000000000000e-01,2.449218749999994671e+00,2.062499999999999889e-01
1.075819672131147608e-04,6.435888400000000509e-01,2.138070469179460531e+00,-2.500000000000000000e-01,2.242968749999994849e+00,2.062499999999999889e-01
1.080942622950819746e-04,6.458961199999999625e-01,2.138759283862005756e+00,-2.500000000000000000e-01,2.036718749999995026e+00,2.062499999999999889e-01
1.086065573770491884e-04,6.481191800000000169e-01,2.139427842547678704e+00,-2.500000000000000000e-01,1.830468749999994982e+00,2.062499999999999889e-01
1.091188524590164022e-04,6.503041999999999989e-01,2.140076117528928901e+00,-2.500000000000000000e-01,1.624218749999994937e+00,2.062499999999999889e-01
1.096311475409836159e-04,6.524961200000000128e-01,2.140704081938836989e+00,-2.500000000000000000e-01,1.417968749999994893e+00,2.062499999999999889e-01
